Ā. L.	Ānandalaharī.
A. R.	Anargharāghava (Published in the Kāvyamālā).
A. Rām.	Adhyātma Rāmāyaṇa.
Abh. Chin.	Abhidhāna Cintāmaṇi Kośa.
Ait. Ār.	Aitareya Āraṇyaka.
Ait. Br.	Aitareya Brāhmaṇa, (Bombay).
Ait. Up.	Aitareya Upaniṣad.
Ak.	Amarakoṣa, (Bombay).
Aman. Up.	Amanasopaniṣad.
Amaru.	Amaruśataka, (Nirṇaya Sāgara, 1916).
Āpast.	Āpastamba.
Āry. S.	Āryavidyāsudhākara, (Bombay).
Āryā. S.	Āryāsaptaśatī (Published in the Kāvyamālā).
Aśvad.	Aśvadhāṭī (Published in the Subhāṣitaratnākara).
Āśval.	Āśvalāyanaʼs Sūtras.
Av.	Atharva-Veda. (ed. by Pandit Satawalekar).
AVP.	Atharva Veda Prātiśākhya.
B. and R.	Böhtlingk and Roth.
B. P.	Bhaviṣya Purāṇa.
B. R.	Bālarāmāyaṇa, (Benaras).
Baudhāy.	Baudhāyana.
Bg.	Bhagavadgītā (Tilak Edition).
Bh.	Bhartṛhariʼs three śatakas (the figures 1. 2. 3. after Bh. denoting Śṛṅgāra˚, Nīti˚, and Vairāgya˚). Nīti and Vairāgya—Oriental Publishing Company (Bombay). Śṛṅgāra— Nirṇaya Sāgara, 1925.
Bhāg.	Bhāgavata, (V. Ramaswamy Sastrulu & Sons, Madras).
Bhār. Ch.	Bhāratacampū, (Bombay).
Bhāṣā P.	Bhāṣāpariccheda.
Bhav. P.	Bhaviṣyottara Purāṇa.
Bhāva P.	Bhāvaprakāśa.
Bīj.	Bījagaṇita.
Bil. Ch.	Bilhaṇacaritam.
Bk.	Bhaṭṭikāvya, (Nirṇaya Sāgara, 1928).
Bm.	Bhāratamañjarī.
Bop.	Vopadeva.
Bṛ. Ār. Up.	Bṛhadāraṇyakopaniṣad, (सार्थ उपनिषत्संग्रह, ह. र. भागवत, १९१४).
Bṛ. Kath.	Bṛhatkathā.
Bṛ. S.	Varāhamihiraʼs Bṛhatsamhitā, (लक्ष्मीवेङ्कटेश्वर प्रेस, कल्याण-मुंबई १८९७).
Br. Sūt.	Brahmasūtras.
Bṛ. Up.	Bṛhadāraṇyakopaniṣad, (सार्थ उपनिषत्संग्रह, ह. र. भागवत, १९१४).
Brav. P.	Brahmavaivarta Purāṇa.
Bu. Ch.	Buddhacaritam, (A.C. Bhat & Co. 1911).
Buddh.	Buddhist literature.
Bv.	Bhāminīvilāsa, (D. V. Sadhale & Co. Bombay).
Ch. P.	Caurapañcāśikā.
Ch. Up.	Chāndogyopaniṣad, (सार्थ उपनिषत्संग्रह, ह. र. भागवत, १९१४).
Chāṇ.	Cāṇakyaśataka.
Chaṇḍ. K.	Caṇḍakauśika.
Chand. M.	Chandomañjarī.
Chandr.	Candrāloka.
Chāt.	Cātakāṣṭaka (In two parts.)
Chola-Champū.	Edited by Dr. Raghavan.
CP.	Copper-plates.
D. Bhāg.	Devībhāgavata.
D. R.	Daśarūpa (Hallʼs edition).
Dāy.	Dāyabhāga.
Dāy. B.	Dāyabhāga.
Dhan. V.	Dhanañjayavijaya.
Dhanur.	Dhanurveda Saṃhitā, (श्रीवेंकटेश्वर प्रेस, शके १८२३).
Dharm.	Dharmaviveka.
Dharmabhyudaya Mahākāvya.	Edited by Dr. Raghavan.
Dhūrt.	Dhūrtasamāgama.
Dhyān. Up.	Dhyānabindūpaniṣad.
Dk.	Daśakumāracarita, (Bombay).
Dṛ. Ś.	Dṛṣṭāntaśataka.
EI.	Epigraphia Indica.
Enm.	Ekārthanāmamālā of Saubhari.
Ep. Ind.	Epigraphia Indica.
G. L.	Gaṅgālaharī.
G. M.	Gaṇaratnamahodadhi of Vardhamāna.
Gaut. S.	Gautamasūtra.
Gaut. Sūt.	Gautamasūtra.
Ghaṭ.	Ghaṭakarparakāvya.
GI.	Gupta Inscriptions by Fleet.
Gīrvāṇa.	गीर्वाण लघुकोश.
Gīt.	Gītagovinda.
Golādh.	Golādhyāya.
H.	Hitopadeśa, (आर्यभूषण प्रेस, पुणें, १९३३).
H. D.	Haṃsadūta.
H. Pr.	हितोपदेश-प्रस्ताविका.
Halāy.	Halāyudha.
Hariv.	Harivaṃśa, (चित्रशाळा, पुणें, १९३६).
Hch.	Harṣacarita.
Hem.	Hemacandra.
I B.	Inscriptions of Bengal, Vol. III by N. G. Mujumdar.
Inscr.	Inscriptions.
Īśop.	Īśopaniṣad, (सार्थ उपनिषत्संग्रह, ह. र. भागवत, १९१४).
J. N. V.	Jaiminīyanyāyamālāvistara, (Goldstückerʼs Edition.)
Jag.	Jagannātha Pandit.
K.	Kādambarī, (Bombay).
K. P.	Kāvyaprakāśa.
K. R.	Kavi-Rahasya.
Kām.	Kāmandakinītisāra.
