Ait. Br.	Aitareya Brāhmaṇa.
Amar.	Amaruśataka, ed. Calcutt.
Amarak.	Amarakośa.
Amarakoṣa	Amarakośa.
Anth.	Anthology (Häberlin's Kāvya Saṅgraha).
Arj.	Arjunasamāgama, an episode of the MBh., ed. Bopp.
Arji Bordschi	Arji Bordschi (Mongolian work?).
Atharv.-Ved.	Atharva-Veda.
Atharva-V.	Atharva-Veda.
Berl. Handschriften	Berliner Handschriften (Berlin manuscripts).
Berl. Monatsb.	Berliner Monatsberichte (Monthly Reports of the Berlin Academy of Sciences).
Berol.	Berlin (manuscript).
Bhag.	Bhagavadgītā, ed. Schlegel.
Bhagav.	Bhāgavata(-Purāṇa).
Bharata	Bharata (author of Nāṭyaśāstra).
Bhartṛ.	Bhartṛhari, ed. Bohlen.
Bhaviṣyap.	Bhaviṣya-Purāṇa.
Bhaṭṭ.	Bhaṭṭikāvya, ed. Calc.
Bhaṭṭik.	Bhaṭṭikāvya, ed. Calcutta.
Bhāg.	Bhāgavata(-Purāṇa).
Bhāg. P.	Bhāgavata-Purāṇa, ed. Burnouf.
Bhāṣāp.	Bhāṣāpariccheda, in Bibliotheca Indica and in my Sanskrit Chrestomathy.
Br.	Brockhaus.
Brahmav.	Brahmavaivarta(-Purāṇa).
Brahmavaiv. P.	Brahmavaivarta-Purāṇa, ed. Stenzler.
Brāhmaṇ.	Brāhmaṇavilāpa, an episode of the MBh., ed. Bopp.
Brāhmaṇav.	Brāhmaṇavilāpa, an episode of the MBh., ed. Bopp.
Böhtl. Chr.	Böhtlingk, Sanskrit Chrestomathy.
Böhtl. Ind. Spr.	Böhtlingk. Indische Sprüche (Indian Sentences).
Böhtl. Roth.	Böhtlingk and Roth, Sanskrit Wörterbuch.
Böhtl. Roth. Sskr. Wörterbuch.	Böhtlingk and Roth, Sanskrit Wörterbuch.
Bālab.	Bālabhārata.
Bṛh. Ār. Up.	Bṛhadāraṇyaka Upaniṣad.
Bṛhaspati	Bṛhaspati (author of Bṛhaspati Smṛti).
Caur.	Caurapañcāśikā, in Bohlen’s ed. of Bhartṛhari.
Caurap.	Caurapañcāśikā, in Bohlen’s ed. of Bhartṛhari.
Chr.	my Sanskrit Chrestomathy.
Chānd. Up.	Chāndogya Upaniṣad, in Bibliotheca Indica.
Colebr. Essays	Colebrooke's Essays.
Cāt.	Cātaka, in Zeitschrift für die Kunde des Morgenlands, i. e. ‘Journal for the Knowledge of the Orient,’ vol. iv.
Cāṇ.	Cāṇakya, published in Häberlin’s Anthology, and by Weber in Berl. Monatsb. Hist. Phil. Cl., i. e. in ‘Monthly Reports of the Berlin Academy of Sciences, Class of History and Philology,’ 1864.
Cāṭ.	Cāṭaka, in Zeitschrift für die Kunde des Morgenlands, vol. iv.
Daśak.	Daśakumāracarita, ed. Wilson, partly in my Chr.
Daśar.	Daśa-Rūpa, ed. Fitz-Edward Hall.
Daśarūp.	Daśarūpa, ed. Fitz-Edward Hall.
Dev.	Devīmāhātmya, ed. Poley.
Dhūrtas.	Dhūrtasamāgama, a play or narrative.
Draup.	Draupadīpramātha, an episode of the MBh., ed. Bopp.
Episod. MBh. de Śakuntala	Episode of the Mahābhārata de Śakuntala.
Fausböll, Dhammap.	Fausböll, Dhammapada.
Ghaṭ.	Ghaṭakarpara, ed. Calc.
Ghaṭak.	Ghaṭakarpara.
Gorr.	Gaspare Gorresio, Italian Orientalist and Indologist
Govardh. Āryā Sapt.	Govardhana Āryāsaptaśatī, ed. Soma Nath Mookerjea.
Govardh. Āryā Saptaśatī	Govardhana Āryāsaptaśatī, ed. Soma Nath Mookerjea.
Govardhana, Āryā Sapt.	Govardhana Āryāsaptaśatī, ed. Soma Nath Mookerjea.
Gött. Gel. Anz.	Göttinger Gelehrte Anzeigen, i. e. ‘Scientific Reports published in Göttingen.’
Götting. Gel. Anz.	Göttinger Gelehrte Anzeigen.
Gīt.	Gītagovinda. ed. Lassen.
Haeb. Anth.	Häberlin's Anthology (Kāvya Saṅgraha).
Hariv.	Harivaṃśa, ed. Calc.
Hemac.	Hemacandra (Jain author of Abhidhānacintāmaṇi etc.).
Hind. Th.	Wilson, The Hindu Theatre (Theatre of the Hindus).
Hind. Theat.	Wilson, The Hindu Theatre (Theatre of the Hindus).
Hind. Theatr.	Wilson, The Hindu Theatre (Theatre of the Hindus).
Hindu Dr.	Wilson, Hindu Drama.
Hit.	Hitopadeśa, ed. of Lassen, and when followed by M.M.,that of Max Müller. When followed by two Arabian numerals, the first denotes the page, the second the line; when followed by a Roman and Arabian numeral, the first denotes the book, the second the distich.
Hit. pr.	Hitopadeśa, prologue.
